,"SegmentID","OldID","Longitude","Latitude","District","Upazila","RefLevel","ParaHeight","StartYear","EndYear"
0,"SY056","SY056",91.94,24.98,"Sylhet","Kotwali",30,0.2,1965,2019
1,"DI013","DI013",88.29,26.19,"Thakurgaon","Baliadangi",56.91,0.3,1965,2018
2,"DI007","DI007",88.37,26.27,"Panchagarh","Atwari",69.11,0.41,1965,2018
3,"DI011","DI011",88.55,26.15,"Thakurgaon","Thakurgaon Sadar",64.24,0.3,1965,2018
4,"DI017","DI017",88.49,26.1,"Thakurgaon","Thakurgaon Sadar",56.48,0.25,1965,2018
5,"DI019","DI019",88.54,26.1,"Thakurgaon","Thakurgaon Sadar",55.42,0.45,1965,2018
6,"DI003","DI003",88.6,26.45,"Panchagarh","Panchagarh Sadar",82.05,0.46,1965,2018
7,"DI012","DI012",88.61,26.2,"Panchagarh","Boda",61.41,0.28,1965,2018
8,"DI009","DI009",88.42,26.25,"Panchagarh","Atwari",63.43,0.3,1965,2018
9,"RJ028","RJ028",88.63,24.58,"Rajshahi","Mohanpur",16.96,0.45,1965,2018
10,"RJ026","RJ026",89.2,24.61,"Natore","Singra",13.98,0.4,1965,2018
11,"RJ023","RJ023",88.68,24.63,"Rajshahi","Mohanpur",16.39,0.81,1965,2018
12,"RJ008","RJ008",88.85,25.18,"Naogaon","Dhamoirhat",22.17,0.3,1965,2018
13,"RJ020","RJ020",88.57,24.82,"Naogaon","Niamatpur",18.97,0.45,1965,2018
14,"RJ013","RJ013",88.67,25.02,"Naogaon","Patnitala",21.97,0.83,1965,2018
15,"RJ018","RJ018",88.81,24.88,"Naogaon","Mahadebpur",17.64,0.45,1965,2018
16,"RJ010","RJ010",88.64,25.05,"Naogaon","Patnitala",22.76,0.45,1965,2018
17,"RJ003","RJ003",88.92,25.14,"Naogaon","Dhamoirhat",23.92,0.45,1965,2018
18,"RJ029","RJ029",88.85,24.52,"Rajshahi","Baghmara",15.36,0.45,1965,2018
19,"RJ021","RJ021",88.9,24.76,"Naogaon","Naogaon Sadar",16.72,0.45,1965,2018
20,"RJ030","RJ030",89.14,24.57,"Natore","Singra",12.35,0.45,1965,2018
21,"RJ002","RJ002",88.74,25.17,"Naogaon","Dhamoirhat",27.58,0.45,1965,2018
22,"RJ025","RJ025",88.96,24.66,"Naogaon","Atrai",13.15,0.47,1965,2018
23,"RJ011","RJ011",88.72,25.04,"Naogaon","Patnitala",20.16,0.45,1965,2018
24,"RA-09","RA-09",88.91,26.13,"Nilphamari","Dimla",55.31,0.85,1965,2018
25,"DI002","DI002",88.44,26.47,"Panchagarh","Tentulia",85.63,0.45,1965,2018
26,"DI016","DI016",88.31,25.97,"Thakurgaon","Ranisankail",51.08,0.34,1965,2018
27,"RA-16","RA-16",89.06,26,"Nilphamari","Jaldhaka",48.06,0.46,1965,2018
28,"RJ015","RJ015",88.95,25.02,"Naogaon","Badalgachhi",19.99,0.37,1965,2018
29,"RA-04","RA-04",88.81,26.26,"Nilphamari","Domar",63.58,0.8,1965,2018
30,"DI015","DI015",88.28,26.11,"Thakurgaon","Baliadangi",53.37,0.4,1965,2018
31,"RA-14","RA-14",88.82,26.04,"Nilphamari","Domar",53.47,0.76,1965,2018
32,"RA-03","RA-03",88.82,26.06,"Nilphamari","Dimla",62.7,0.86,1965,2018
33,"DI004","DI004",88.41,26.33,"Panchagarh","Atwari",63.78,0.45,1965,2018
34,"RA-05","RA-05",88.88,26.2,"Nilphamari","Domar",58.84,0.92,1965,2018
35,"RJ007","RJ007",88.64,25.1,"Naogaon","Patnitala",23.82,0.45,1965,2018
36,"DI024","DI024",88.48,26.19,"Thakurgaon","Thakurgaon Sadar",65.27,0.5,1966,2018
37,"DI021","DI021",88.37,26.08,"Thakurgaon","Thakurgaon Sadar",56.05,0.38,1966,2018
38,"DI027","DI027",88.68,26.36,"Panchagarh","Panchagarh Sadar",71.86,0.48,1966,2018
39,"SY057","SY057",91.88,24.96,"Sylhet","Kotwali",12.46,0.46,1965,2018
40,"DI028","DI028",88.65,26.17,"Panchagarh","Boda",61.55,0.34,1966,2018
41,"RJ063","RJ063",88.67,24.84,"Naogaon","Manda",17.6,0.45,1966,2018
42,"RJ060","RJ060",88.96,24.92,"Naogaon","Badalgachhi",18.98,0.45,1966,2018
43,"RJ042","RJ042",88.41,24.58,"Rajshahi","Godagari",35.34,0.45,1966,2018
44,"RJ045","RJ045",88.43,24.74,"Nawabganj","Nachole",34.04,0.33,1966,2018
45,"RJ058","RJ058",88.69,24.94,"Naogaon","Mahadebpur",19.2,0.45,1966,2018
46,"RJ055","RJ055",88.81,25.03,"Naogaon","Patnitala",19.55,0.45,1966,2018
47,"RJ039","RJ039",88.53,24.68,"Rajshahi","Tanore",20.67,0.45,1966,2018
48,"RJ062","RJ062",88.9,24.84,"Naogaon","Naogaon Sadar",15.96,0.2,1966,2018
49,"RJ057","RJ057",88.77,24.93,"Naogaon","Mahadebpur",19.92,0.45,1966,2018
50,"RJ043","RJ043",88.34,24.66,"Nawabganj","Nawabganj Sadar",39.07,0.45,1966,2018
51,"RJ056","RJ056",88.73,24.9,"Naogaon","Mahadebpur",19.92,0.45,1966,2018
52,"RJ037","RJ037",88.58,24.49,"Rajshahi","Paba",16.84,0.36,1966,2018
53,"RJ054","RJ054",88.72,25.1,"Naogaon","Patnitala",21.81,0.45,1966,2018
54,"RA-08","RA-08",88.84,26.22,"Nilphamari","Domar",58.51,0.45,1965,2017
55,"RA-13","RA-13",88.84,26.11,"Nilphamari","Domar",55.5,0.83,1965,2017
56,"RJ041","RJ041",88.43,24.68,"Nawabganj","Nachole",39.54,0.3,1966,2018
57,"RJ061","RJ061",88.9,24.9,"Naogaon","Naogaon Sadar",16.84,0.58,1966,2018
58,"RA-11","RA-11",89.04,26.12,"Nilphamari","Dimla",50.13,0.61,1966,2018
59,"RJ005","RJ005",88.92,25.09,"Naogaon","Dhamoirhat",21.63,0.45,1965,2017
60,"DI005","DI005",88.73,26.34,"Panchagarh","Panchagarh Sadar",48.39,0.4,1965,2017
61,"RA-22","RA-22",88.97,26.08,"Nilphamari","Jaldhaka",50.28,0.51,1966,2018
62,"MY005","MY005",90.7,25.08,"Netrakona","Durgapur",13.84,0.46,1966,2019
63,"RJ079","RJ079",88.18,24.64,"Nawabganj","Shibganj",22.9,0.35,1966,2018
64,"FA003","FA003",89.64,23.76,"Rajbari","Rajbari Sadar",10.85,0.57,1966,2019
65,"RJ080","RJ080",88.43,24.4,"Rajshahi","Godagari",20.84,0.45,1966,2018
66,"MY017","MY017",90.71,24.47,"Kishoreganj","Hossainpur",12.56,0.46,1966,2019
67,"DH007","DH007",90.07,23.83,"Manikganj","Manikganj Sadar",9.73,0.46,1966,2019
68,"MY002","MY002",90.84,24.97,"Netrakona","Barhatta",9.8,0.46,1966,2019
69,"RJ067","RJ067",88.7,24.43,"Rajshahi","Paba",16.74,0.45,1966,2018
70,"RJ024","RJ024",88.89,24.66,"Naogaon","Atrai",12.81,0.46,1966,2018
71,"MY010","MY010",90.91,24.48,"Kishoreganj","Karimganj",10,0.46,1966,2019
72,"MY012","MY012",90.82,24.33,"Kishoreganj","Katiadi",8.52,0.46,1966,2019
73,"DH006","DH006",90.01,23.87,"Manikganj","Manikganj Sadar",10,0.15,1966,2019
74,"JA001","JA001",90.14,24.82,"Jamalpur","Jamalpur Sadar",17.46,0.46,1966,2019
75,"RJ082","RJ082",89.21,24.25,"Natore","Baraigram",12.23,0.3,1966,2018
76,"FA005","FA005",89.59,23.61,"Rajbari","Baliakandi",7.7,0.46,1966,2019
77,"FA010","FA010",89.56,23.73,"Rajbari","Baliakandi",9.56,0.71,1966,2019
78,"FA002","FA002",89.66,23.72,"Rajbari","Goalandaghat",10.38,0.46,1966,2019
79,"MY003","MY003",90.75,24.95,"Netrakona","Netrokona Sadar",10.4,0.46,1966,2018
80,"FA012","FA012",89.72,23.22,"Gopalganj","Kashiani",7.25,0.46,1966,2019
81,"RA-01","RA-01",88.98,26.43,"Lalmonirhat","Patgram",64.49,0.61,1966,2018
82,"DH010","DH010",90.54,24.18,"Gazipur","Sreepur",9.97,0.46,1966,2019
83,"RA-17","RA-17",89.24,26.06,"Lalmonirhat","Hatibandha",45.47,0.76,1966,2018
84,"FA006","FA006",89.57,23.6,"Faridpur","Madhukhali",9.68,0.45,1966,2019
85,"TA006","TA006",90,24.34,"Tangail","Kalihati",12.56,0.46,1966,2018
86,"FA009","FA009",89.58,23.69,"Rajbari","Baliakandi",9.97,0.46,1966,2019
87,"RA-21","RA-21",88.99,26.17,"Nilphamari","Dimla",54.08,0.38,1966,2018
